Title,avgRating,sentiment_rating_category,review/summary,sentiment_category,Genre,Author,Rating_Ordinal,Genre_Encoded,sentiment_categoty_encoded
New York September 11,3.7586206896551726,Very Good,Amazing Record of an Unspeakable Tragedy,Average,History,"Magnum (Paris, França)",4.0,8,2
A separate peace;: A novel,3.6869158878504673,Very Good,A pretty good book,Very Good,Fiction,John Knowles,4.0,1,4
Granny's Wonderful Chair,4.357142857142857,Must Read,Granny's wonderful Chair,Very Good,Fairy tales,Frances Browne,5.0,437,4
A Severed Head,3.909090909090909,Very Good,BORING,Average,English drama,Iris Murdoch,4.0,209,2
The cruel sea (Cardinal giant),4.729166666666667,Must Read,Compelling portrait of command at sea in wartime.,Good,Religion,Jaroslav Pelikan,5.0,6,3
Flashbacks: On Returning to Vietnam,4.285714285714286,Must Read,An important work of journalism,Good,History,Morley Safer,5.0,8,3
Incense: Crafting and Use of Magickal Scents,4.411764705882353,Must Read,Very interesting and informative,Good,"Body, Mind & Spirit",Carl F. Neal,5.0,4,3
Left to Tell: Discovering God Amidst The Rwandan Holocaust,4.833832335329341,Must Read,"This book ""will"" change your life!",Average,Biography & Autobiography,Immaculee Ilibagiza,5.0,14,2
A Guide to Field Identification: Birds of North America,4.2439024390243905,Must Read,great value,Must Read,Unknown,Unknown,5.0,0,5
Dreams from My Father: A Story of Race and Inheritance,4.148427672955975,Must Read,Shameless Self Promotion by a Modern Black Racist,Poor,Unknown,Unknown,5.0,0,1
One Flew Over the Cuckoo's Nest,4.3498168498168495,Must Read,"Boredom to the most extreme, then hilarious!",Good,Fiction,Ken Kesey,5.0,1,3
Earth abides,4.032537960954447,Must Read,Not for everyone but recommended,Good,Fiction,George Rippey Stewart,5.0,1,3
New World Order: The Ancient Plan of Secret Societies,3.88,Very Good,"Fascinating, Frightening, and Factual !!",Good,"Body, Mind & Spirit","William N. Still, Jr., William T. Still",4.0,4,3
Freddy the Detective,4.793103448275862,Must Read,"beam me up, freddy",Average,Unknown,Unknown,5.0,0,2
By the Dawn's Early Light: The Story of the Star-Spangled Banner,4.5,Must Read,Your young patriots will love it,Very Good,Unknown,Unknown,5.0,0,4
Found Dogs: Tales of Strays Who Landed on Their Feet,4.6571428571428575,Must Read,Excellent,Very Good,Pets,Elise Lufkin,5.0,138,4
Cradle of Dreams,3.75,Very Good,A Must Read if You Have Infertile Friends or Relatives,Good,Fiction,Karen Pierson,4.0,1,3
God and man at Yale;: The superstitions of academic freedom,4.5,Must Read,"A Bit Dated, But a Genuine Classic",Average,Political Science,William F. Buckley,5.0,16,2
The Hobbit There and Back Again,4.657503379900856,Must Read,Classic,Average,Adventure stories,John Ronald Reuel Tolkien,5.0,18,2
Amy's Eyes,4.833333333333333,Must Read,A *must read* belly laugh fable for kids and adults.,Very Good,Young Adult Fiction,Richard Kennedy,5.0,35,4
"Indigo Dreams: Adult Relaxation-Guided Meditation/Relaxation Techniques decrease anxiety, stress, anger",4.254237288135593,Must Read,My insomnia,Average,Self-Help,Lori Lite,5.0,87,2
Eat Mangoes Naked: Finding Pleasure Everywhere (and dancing with the Pits),4.611111111111111,Must Read,Incredible!,Average,Self-Help,SARK,5.0,87,2
The Seat of the Soul,3.573221757322176,Very Good,What a let-down!,Average,"Body, Mind & Spirit",Gary Zukav,4.0,4,2
Three Dog Life - Memoir,4.40650406504065,Must Read,read this book,Average,Biography & Autobiography,Abigail Thomas,5.0,14,2
My First Hebrew Word Book,4.6,Must Read,Easy to read and well laid-out!,Very Good,Juvenile Nonfiction,Judyth Groner,5.0,120,4
"The science of getting rich,",4.188284518828452,Must Read,A powerful book,Good,Fiction,W. D. Wattles,5.0,1,3
The Pact: A Love Story,4.308849557522124,Must Read,"EXCELLENT, SUPERB",Must Read,Fiction,Jodi Picoult,5.0,1,5
The Two Towers,4.676579925650557,Must Read,"""Towering"" second volume",Average,Fiction,John Ronald Reuel Tolkien,5.0,1,2
The School Mouse,4.538461538461538,Must Read,b - bug reviews,Average,Unknown,Unknown,5.0,0,2
Dune,4.4204993429697765,Must Read,The Greatest Science Fiction Novel I've Read,Must Read,Art,Tanya Lapointe,5.0,46,5
Grown Folks Business,4.476190476190476,Must Read,Wonderful Read!!!,Very Good,Unknown,Unknown,5.0,0,4
A Christmas Carol (Enriched Classics (Pocket)),4.686390532544379,Must Read,You must read the timeless classic A Christmas Carol,Average,Fiction,Charles Dickens,5.0,1,2
Why Do I Love These People?: Honest and Amazing Stories of Real Families,4.076923076923077,Must Read,Coping with Imperfection,Average,Family & Relationships,Po Bronson,5.0,48,2
Parchment of Leaves (Ballantine Reader's Circle (Prebound)),4.7592592592592595,Must Read,As Bad As The Others,Poor,Unknown,Unknown,5.0,0,1
Learning SQL,4.104166666666667,Must Read,Excellent Book to Learn SQL Quickly!,Very Good,Computers,Alan Beaulieu,5.0,65,4
Rewriting History,3.6013513513513513,Very Good,gw,Average,Political Science,Dick Morris,4.0,16,2
Mother Night,4.719178082191781,Must Read,A different perspective.,Average,Fiction,Richard Zimdars,5.0,1,2
The United States Pony Club Manual of Horsemanship: Advanced Horsemanship B/HA/A Levels (The Howell Equestrian Library),4.75,Must Read,A book with a lot of info.,Average,Sports & Recreation,Susan E. Harris,5.0,68,2
The American frugal housewife: Dedicated to those who are not ashamed of economy,4.169811320754717,Must Read,"Review of the free KINDLE version of ""The American Frugal Housewife""",Very Good,Cooking,Lydia Maria Child,5.0,15,4
The Two Towers,4.676579925650557,Must Read,THE BEST BOOK!!!!!!,Very Good,Fiction,John Ronald Reuel Tolkien,5.0,1,4
The great Gatsby (Leading English literature library),4.15118912797282,Must Read,Long Island Glows in this Classic,Average,Fiction,F. Scott Fitzgerald,5.0,1,2
Systematic Theology,4.34375,Must Read,BERKOF'S SYSTEMATIC THEOLOGY,Average,Religion,Louis Berkhof,5.0,6,2
Street Boys,2.7096774193548385,Good,Good for quick reading,Good,Fiction,Lorenzo Carcaterra,3.0,1,3
Great Expectations,4.088699878493317,Must Read,INTERESTING,Good,Fiction,Charles Dickens,5.0,1,3
The House on the Lagoon,3.9615384615384617,Very Good,"Vivid descriptions, rich narrative, a story of stereotypes",Very Good,Fiction,Rosario Ferré,4.0,1,4
The Bonfire of The Vanities,4.21875,Must Read,"Where have you gone, Tom Wolfe?",Average,Fiction,Tom Wolfe,5.0,1,2
The Octopus: A Story of California,3.864864864864865,Very Good,Wonderful and almost forgotten,Good,Unknown,Unknown,4.0,0,3
Praise of folly,4.136363636363637,Must Read,...and that's the truth,Good,Philosophy,Desiderius Erasmus,5.0,29,3
"Arts and Culture, Combined Volume (2nd Edition)",4.523809523809524,Must Read,Culture on a Shelf,Average,Art,"Janetta Rebold Benton, Robert DiYanni",5.0,46,2
Lucifer's Hammer,4.157760814249364,Must Read,"""The extraordinary fragility of human nature, of civilization...""",Average,Fiction,"Larry Niven, Jerry Pournelle",5.0,1,2
Nonviolent Communication,4.618279569892473,Must Read,Very Useful,Good,Self-Help,Marshall B. Rosenberg,5.0,87,3
Harm's Way (Alan Gregory),3.4782608695652173,Very Good,Recommend this exciting thriller,Very Good,Fiction,Stephen White,4.0,1,4
Boy of the Painted Cave,4.628571428571429,Must Read,Sarah's Book Review,Average,Unknown,Unknown,5.0,0,2
Chicken Soup For The Preteen Soul 1 (Turtleback School & Library Binding Edition) (Chicken Soup for the Soul (Pb)),4.390625,Must Read,The best Chicken Soup book yet!,Very Good,Self-Help,"Jack Canfield, Mark Victor Hansen, Kimberly Kirberger",5.0,87,4
"The Hobbit; Or, There and Back Again",4.665913711316919,Must Read,great book,Very Good,Unknown,Unknown,5.0,0,4
Pride & Prejudice (Penguin Classics),4.529123837493882,Must Read,One of Austen's best,Very Good,Young Adult Fiction,Ibi Zoboi,5.0,35,4
The PC Dads Guide to Becoming a Computer-Smart Parent,5.0,Must Read,A book for all parents,Average,Computers,"Mark Ivey, Ralph Bond, Intel",5.0,65,2
Uncle Silas,4.4,Must Read,A melancholy and eerie read....,Poor,Fiction,Sheridan Le Fanu,5.0,1,1
The Mysterious Island (Classics Illustrated),4.4298245614035086,Must Read,Classic writing for a classic age,Average,Unknown,Jules Verne,5.0,0,2
Jenny Sparks: The Secret History of the Authority,4.4,Must Read,Nice,Good,Unknown,Unknown,5.0,0,3
Imagining success,5.0,Must Read,This Book Might Do You a World of Good,Good,Success,"Kurt A. Schneider, Siegfried Schneider",5.0,298,3
Arms Of Destruction: Ranking The World's Best Land Weapons Of WW II: The World's Best Land Weapons Of World War Ii,5.0,Must Read,Arms of Destruction,Poor,History,Robert A. Slayton,5.0,8,1
The Neverending Story,4.73352435530086,Must Read,Fantastic,Very Good,Juvenile Fiction,Michael Ende,5.0,9,4
Deception Point,3.7174638487208007,Very Good,A bit thin...,Average,Unknown,Unknown,4.0,0,2
Dinosaur Bar-B-Que: An American Roadhouse,4.8977272727272725,Must Read,what's not to love about BBQ,Poor,Cooking,"John Stage, Nancy Radke",5.0,15,1
"Street Fighter, Vol. 2",5.0,Must Read,Street Fighter Volume 2,Good,Comics & Graphic Novels,"Ken Siu-Chong, Arnold Tsang, Omar Dogan",5.0,124,3
Watership Down,4.572679509632224,Must Read,"An Untold Story, Until Now...A Beautiful Secret Revealed",Very Good,Fiction,Richard Adams,5.0,1,4
The Attraction,3.8125,Very Good,An Opportunity For Clegg Fans and A Chance For New Ones,Very Good,Fiction,Roger Lewinter,4.0,1,4
The Portrait of a Lady (Bloom's Notes),3.984848484848485,Very Good,19th Century Soap Opera,Average,Juvenile Nonfiction,Harold Bloom,4.0,120,2
Redeeming Love,4.761977186311787,Must Read,My First Christian Romance,Very Good,Fiction,Francine Rivers,5.0,1,4
The Hobbit,4.657493745735729,Must Read,My inner nerd is ecstatic,Good,Juvenile Fiction,J. R. R. Tolkien,5.0,9,3
East of Eden,4.606431852986217,Must Read,Can't Always Get What you Want,Good,Brothers,John Steinbeck,5.0,174,3
The Sword in the Stone,3.9056603773584904,Very Good,Ornithology disguised as fantasy.,Average,Arthurian romances,Terence Hanbury White,4.0,592,2
"Crossroads of Twilight (The Wheel of Time, Book 10)",1.8024544734758512,Average,Brain Candy,Average,Fiction,Robert Jordan,2.0,1,2
The Essential Cake Decorating Guide (Thunder Bay Essential Cookbooks),4.5,Must Read,Lots of great information,Very Good,American literature,Unknown,5.0,170,4
Animal Farm 50TH Anniversary Edition,4.452544704264099,Must Read,A Unique Tale,Average,Fiction,George Orwell,5.0,1,2
"You Have Chosen to Remember: A Journey from Perception to Knowledge, Peace of Mind and Joy",4.5625,Must Read,pretty awesome,Must Read,Unknown,James Blanchard Cisneros,5.0,0,5
Founding Brothers: The Revolutionary Generation,4.085774058577406,Must Read,A passport to the founding of this nation,Average,Biography & Autobiography,Joseph J. Ellis,5.0,14,2
Emma (World's Classics),4.2309278350515465,Must Read,Good Book,Good,Fiction,Jane Austen,5.0,1,3
Past Imperfect,4.142857142857143,Must Read,"great story, great theme, good read",Must Read,Fathers,Julian Fellowes,5.0,730,5
A Better War: The Unexamined Victories and Final Tragedy of America's Last Years in Vietnam,4.024096385542169,Must Read,A remarkable analysis of the last years of the Vietnam War,Average,History,Lewis Sorley,5.0,8,2
The Wish Giver: Three Tales of Coven Tree,4.4772727272727275,Must Read,read The Wish Giver,Very Good,Juvenile Fiction,Bill Brittain,5.0,9,4
Big Rock Candy Mountain,4.5,Must Read,a great book from a great writer,Must Read,Fiction,Wallace Stegner,5.0,1,5
Leaves of Grass (Leather Bound) (The 100 Greatest Books Ever Written),4.272151898734177,Must Read,Good read!,Good,History,Editors of Thunder Bay Press,5.0,8,3
"Logo, Font & Lettering Bible",4.509090909090909,Must Read,lots of interesting info,Good,Design,Leslie Cabarga,5.0,101,3
William: HRH Prince William of Wales,2.6666666666666665,Good,"If you MUST buy this book, get CHEAPEST copy !!!",Average,Nature,"Colin Butfield, Jonnie Hughes",3.0,28,2
Mystic Island,4.666666666666667,Must Read,Best read of the summer!,Very Good,Hurricanes,Jan Evan Whitford,5.0,1199,4
Spoon River Anthology,4.48936170212766,Must Read,One of My Favorite Books,Good,Poetry,Edgar Lee Masters,5.0,193,3
The secret world of Og,4.913043478260869,Must Read,Before you read about the hobbits...,Average,Brothers and sisters,"Pierre Berton, Patsy Berton",5.0,192,2
"From Russia, With Love",4.515463917525773,Must Read,"The Turks would be insulted, and M. lose his job for incompetence",Poor,"Bond, James (Fictitious character)",Ian Fleming,5.0,955,1
Feed,3.9954545454545456,Very Good,Feed,Average,Unknown,Unknown,4.0,0,2
Blood Canticle,3.111111111111111,Very Good,Anne Rice has failed her fans!,Poor,Fiction,Anne Rice,4.0,1,1
Good Cop Bad Cop: Detective Joe Trimboli's Heroic Pursuit of Nypd Officer Michael Dowd,2.5,Good,Enlightening!,Very Good,Corruption investigation,Mike McAlary,3.0,396,4
Wuthering Heights,4.05462962962963,Must Read,Book Review,Average,Unknown,Emily Bronte,5.0,0,2
Second-Time Cool: The Art of Chopping Up a Sweater,3.230769230769231,Very Good,awesome book for individualists!,Very Good,Unknown,Unknown,4.0,0,4
Moby Dick or The White Whale (Harper's Modern Classics),4.0398550724637685,Must Read,A Classic,Average,Fiction,Herman Melville,5.0,1,2
Ollie the Stomper (Gossie & Friends),4.611111111111111,Must Read,Amazing condition. Perfect for little hands.,Must Read,Unknown,Unknown,5.0,0,5
"Legion of Super-Heroes Archives, Vol. 11 (DC Archive Editions)",4.4,Must Read,Excellent book,Very Good,Comics & Graphic Novels,"Gerry Conway, Paul Levitz, Paul Kupperberg, Jack C. Harris",5.0,124,4
How to make the stock market make money for you,3.0869565217391304,Very Good,Works for me,Average,Stock price forecasting,Ted Warren,4.0,1739,2
Economics in one lesson,4.363636363636363,Must Read,"More politics, less economincs",Average,Business & Economics,Henry Hazlitt,5.0,7,2
The good rain: Across time and terrain in the Pacific Northwest,4.27027027027027,Must Read,This city boy does not know what he is talking about!,Average,Travel,Timothy Egan,5.0,23,2
"Winter's Heart (The Wheel of Time, Book 9)",3.3081597222222223,Very Good,Save Your Time and Money,Good,Fiction,Robert Jordan,4.0,1,3
Emma (Summer Classics),4.2309278350515465,Must Read,good,Good,England,Jane Austen,5.0,203,3
Key of Light (Key Trilogy),4.131782945736434,Must Read,Another excellent read!,Very Good,Fiction,Nora Roberts,5.0,1,4
A First Book of Christmas Songs: 20 Favorite Songs in Easy Piano Arrangements (Dover Music for Piano),4.03921568627451,Must Read,"Good book, not for brand new beginners",Good,Music,Bergerac,5.0,99,3
The Path to Salvation: A Manual of Spiritual Transformation,5.0,Must Read,Buy it now!,Average,Religion,"Saint Ḟeofan (Bishop of Tambov and Shatsk), St. the Recluse Theophan",5.0,6,2
Atlas Shrugged,4.0304761904761905,Must Read,Had to return,Average,Unknown,Unknown,5.0,0,2
I Don't Want to Talk About It: Overcoming the Secret Legacy of Male Depression,4.5673076923076925,Must Read,Will open your eyes to a world you never knew existed,Average,Self-Help,Terrence Real,5.0,87,2
Vintage Views of Leelanau County,5.0,Must Read,An Inviting and Entertaining History,Very Good,History,"M. Christine Byron, Thomas R. Wilson",5.0,8,4
The Best School Year Ever,4.296296296296297,Must Read,The Best Book Ever,Very Good,Drama,Barbara Robinson,5.0,20,4
THE CATCHER IN THE RYE,4.017177914110429,Must Read,-Holden +Phoebe,Average,Fiction,J.D. Salinger,5.0,1,2
"Junie B., First Grader: Cheater Pants (Junie B. Jones, No. 21)",4.323529411764706,Must Read,love it,Very Good,Juvenile Fiction,Barbara Park,5.0,9,4
"The System of the World (The Baroque Cycle, Vol. 3)",4.419354838709677,Must Read,Are we there yet?,Average,Fiction,Neal Stephenson,5.0,1,2
Ducky (California Diaries #5),4.161290322580645,Must Read,"**CALIFORNIA DIARIES LOVERS, HERE'S THE ONE**",Very Good,California,Ann M. Martin,5.0,204,4
"The Gunslinger (The Dark Tower Ser., Bk. I)",4.1069078947368425,Must Read,Mmm....,Average,Unknown,Richard Bachman,5.0,0,2
Don't Kiss Them Good-Bye,3.658333333333333,Very Good,"A cheerful, hopeful conversation with a friend.",Must Read,Biography & Autobiography,Allison DuBois,4.0,14,5
Murder on the Orient Express: A Hercule Poirot Mystery,4.501718213058419,Must Read,Classic,Average,Fiction,Agatha Christie,5.0,1,2
"A Common Life (The Mitford Years, Book 6)",2.893238434163701,Good,Major disappointment!,Poor,Fiction,Jan Karon,3.0,1,1
Persian Nights (William Abrahams Book),2.888888888888889,Good,Self-Absorbed American in Arabian Nights Tale,Average,Fiction,Diane Johnson,3.0,1,2
The Rest of Us: Dispatches from the Mother Ship,4.8,Must Read,Familiar stories,Average,Biography & Autobiography,Jacquelyn Mitchard,5.0,14,2
Lewis Carroll's Alice in Wonderland,4.245257452574526,Must Read,Crazy awsome,Average,Fiction,Lewis Carroll,5.0,1,2
To Kill a Mocking Bird,4.547004991680533,Must Read,Do not buy.,Average,Drama,Harper Lee,5.0,20,2
Miracle in the Andes [Audio] [Cd] [Unabridged],4.828571428571428,Must Read,The Greatest Story Ever Told,Very Good,Biography & Autobiography,Nando Parrado,5.0,14,4
The Age of Revolution 1789-1848,3.9523809523809526,Very Good,The Revolutionary Rise of the Modern Era,Average,History,Eric J. Hobsbawm,4.0,8,2
"Harding's luck,",4.444444444444445,Must Read,Dickens would be proud,Good,Fiction,Edith Nesbit,5.0,1,3
It,4.558558558558558,Must Read,My favorite King novel,Very Good,Unknown,Unknown,5.0,0,4
Wuthering Heights,4.05462962962963,Must Read,My Favorite Book,Good,Unknown,Emily Bronte,5.0,0,3
"Dorothy and the Wizard in Oz,",4.232558139534884,Must Read,Very Interesting Book,Good,Juvenile Fiction,L. Frank Baum,5.0,9,3
FALLING LEAVES RETURN TO THEIR ROOTS. The True Story of an Unwanted Chinese Daughter.,4.081927710843374,Must Read,Interesting,Good,California,Adeline Yen Mah,5.0,204,3
Treasure Island,4.303693570451436,Must Read,Ouch! What's going on here?,Average,Fiction,Robert Louis Stevenson,5.0,1,2
Little Women,4.44976076555024,Must Read,This is my favorite book!,Very Good,Fiction,Louisa May Alcott,5.0,1,4
The Lord of the Rings - Boxed Set,4.576751721344674,Must Read,A book that can change souls,Average,Young Adult Fiction,J.R.R. Tolkien,5.0,35,2
NATHAN'S RUN.,4.390804597701149,Must Read,Slow but sure,Good,Fiction,John Gilstrap,5.0,1,3
Shade of the Maple,4.309523809523809,Must Read,Extraordinary!,Average,Unknown,Unknown,5.0,0,2
Executive's Guide to E-Business: From Tactics to Strategy,4.333333333333333,Must Read,Deep E-Commerce MasterGuide,Average,Electronic commerce,Unknown,5.0,1582,2
The Official Patient's Sourcebook on Sleep Apnea,4.25,Must Read,Kept me up all night!,Average,Unknown,Unknown,5.0,0,2
Toyer,4.5,Must Read,Different kind of mystery,Average,English drama,Gardner McKay,5.0,209,2
There Are Survivors: The Michael Cuccione Story,4.985074626865671,Must Read,There are Survivors: The Michael Cuccione Story,Average,Cancer,"Michael Cuccione, Jane MacSporran",5.0,188,2
When We Were Very Young (Winnie-the-Pooh) (Winnie-the-Pooh Series),4.875,Must Read,Beautiful Edition!,Very Good,Juvenile Fiction,A. A. Milne,5.0,9,4
The Pact: A Love Story,4.308849557522124,Must Read,Loss for words,Average,Fiction,Jodi Picoult,5.0,1,2
Holes,4.622477578475336,Must Read,Kid's point of view,Average,Juvenile Fiction,Louis Sachar,5.0,9,2
You Remind Me of Me,3.826530612244898,Very Good,A moving tale of two brothers,Average,Fiction,Dan Chaon,4.0,1,2
Forever Odd: A Novel,3.754491017964072,Very Good,"A Good, Quick Read....but some key components left out",Good,Fiction,Dean Koontz,4.0,1,3
Pembroke,2.6666666666666665,Good,Slow and tedious,Average,Unknown,Unknown,3.0,0,2
"CCNA #640-607 Preparation Library, Fifth Edition (CCNA Self-Study)",4.576923076923077,Must Read,Great!!,Very Good,Computers,Silviu Angelescu,5.0,65,4
The Red Horse,4.5,Must Read,A dynamic historical novel of World War II and its aftermath,Average,Religion,Eugenio Corti,5.0,6,2
Severed: The True Story of the Black Dahlia Murder,4.228915662650603,Must Read,You'll Want to Look Away...but you can't!,Good,History,John Gilmore,5.0,8,3
Cowboy Wants a Baby,4.4,Must Read,The Cowboy wants a Baby,Average,Unknown,Unknown,5.0,0,2
"Blood meridian, or, The evening redness in the west (Picador)",4.0755711775043935,Must Read,one decent page out of every ten,Average,Fiction,Cormac McCarthy,5.0,1,2
A Pocket Style Manual,4.631578947368421,Must Read,A must have,Average,Language Arts & Disciplines,"Diana Hacker, Nancy Sommers",5.0,11,2
where's buddy?,5.0,Must Read,loved it,Very Good,Unknown,Ron Roy,5.0,0,4
Persuasion,4.40952380952381,Must Read,"Ok, I like Jane Austin",Good,Fiction,Jane Austen,5.0,1,3
The Trolley Car Family (TX104),4.785714285714286,Must Read,The BEST book ever for children!,Very Good,Editions,Unknown,5.0,236,4
Key of Valor (Key Trilogy),4.485436893203883,Must Read,Excellent writer all around.,Very Good,Fiction,Nora Roberts,5.0,1,4
The Fountainhead,4.098280098280099,Must Read,THIS IS MY FAVORITE BOOK!,Very Good,Architects,Ayn Rand,5.0,222,4
Belles on Their Toes,4.708333333333333,Must Read,Wonderful Old Fashioned story,Very Good,Unknown,Unknown,5.0,0,4
Rainbow Six,3.4054593874833556,Very Good,Solid Military Story,Good,Games & Activities,Michael Knight,4.0,62,3
A Match Made in Scandal (Donally Family),3.7857142857142856,Very Good,An Emotional Roller Coaster,Good,Fiction,Melody Thomas,4.0,1,3
Push: A Novel,4.157337367624811,Must Read,Push Saphire to write more like this one!,Good,Fiction,Ashley Audrain,5.0,1,3
Miss-Guided,4.714285714285714,Must Read,An Aptly Named Novel,Good,Business & Economics,"Rosy Boardman, Rachel Parker-Strak, Claudia E. Henninger",5.0,7,3
Portrait of a Killer: Jack the Ripper - Case Closed,2.4855403348554033,Good,Case not proved,Average,True Crime,Patricia Cornwell,3.0,34,2
Dinosaurumpus! (Book and Audio CD) (Paperback),4.897435897435898,Must Read,Great Book!,Very Good,Juvenile Fiction,Tony Mitton,5.0,9,4
The Color Purple,4.288107202680067,Must Read,The Color Purple,Average,Unknown,Unknown,5.0,0,2
To Kill a Mocking Bird,4.547004991680533,Must Read,One of the few must-reads,Average,Drama,Harper Lee,5.0,20,2
The Hunchback of Notre Dame (Signet Classics),4.509090909090909,Must Read,ATTRACTIVE PRINTING OF LITERARY CLASSIC WITH BONUS DVD FEATURE FILM,Must Read,Fiction,Victor Hugo,5.0,1,5
Those Episkopols,4.7272727272727275,Must Read,Excellent &amp; Informative Book!,Very Good,Unknown,Unknown,5.0,0,4
Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own in a Relationship,4.2052980132450335,Must Read,An Absolute must have for every woman!!!,Average,Family & Relationships,Sherry Argov,5.0,48,2
Old Man & the Sea,4.0320441988950275,Must Read,Inspirational,Very Good,Fiction,Thomas Perry,5.0,1,4
Potty Train Your Child in Just One Day: Proven Secrets of the Potty Pro [toilet training],4.115107913669065,Must Read,Good for 1 day... but what about after??,Good,Family & Relationships,Teri Crane,5.0,48,3
A tree grows in Brooklyn: A novel (Armed Services edition),4.706852791878172,Must Read,A Tree Grows In Brooklyn,Average,History,Molly Guptill Manning,5.0,8,2
"Ulysses,",3.824590163934426,Very Good,The Irish Oddesy,Average,Fiction,James Joyce,4.0,1,2
The Sound of Waves,4.159420289855072,Must Read,Great,Very Good,Fiction,Yukio Mishima,5.0,1,4
The Mark: The Beast rules the world (Left Behind),3.5364238410596025,Very Good,Pure marketing...,Average,Fiction,"Tim LaHaye, Jerry B. Jenkins",4.0,1,2
History of the World Christian Movement: Earliest Christianity to 1453,4.416666666666667,Must Read,Excellent!,Very Good,Religion,"Dale T. Irvin, Scott Sunquist",5.0,6,4
Light in Shadow,4.017543859649122,Must Read,Not worth the full price,Average,Fiction,Janny Wurts,5.0,1,2
Berlin Diary: The Journal of a Foreign Correspondent 1934-1941,4.6015625,Must Read,berlin diary,Average,Biography & Autobiography,William L. Shirer,5.0,14,2
"A Hero's Homecoming, Special Edition (Montana Mavericks: Return to Whitehorn)",4.4,Must Read,Great story,Very Good,Fiction,Susan Mallery,5.0,1,4
Pride and Prejudice,4.528662420382165,Must Read,I love this book!,Very Good,Fiction,Jane Austen,5.0,1,4
The Secret Garden,4.542759407069555,Must Read,And delight reigneth!,Very Good,Juvenile Fiction,Frances Hodgson Burnett,5.0,9,4
Franny & Zooey,4.2075471698113205,Must Read,Franny and Pooey,Average,Unknown,Jerome David Salinger,5.0,0,2
A Farewell to Arms,3.9574036511156185,Very Good,Everything in One!,Average,Fiction,Ernest Hemingway,4.0,1,2
Echo Park (SIGNED),4.389830508474576,Must Read,Bosch on the edge,Average,Fiction,Steve Scott,5.0,1,2
Hatchet,4.37516254876463,Must Read,Hatchet,Average,Juvenile Fiction,Gary Paulsen,5.0,9,2
Story of O,3.5814814814814815,Very Good,Not as Titilating as People Think,Average,Fiction,Pauline Reage,4.0,1,2
Hemingway: The Final Years,4.7,Must Read,"Take A Bow, Mr. Reynolds",Average,Unknown,Unknown,5.0,0,2
Watchmen,4.577451879010082,Must Read,WOW,Very Good,Comics & Graphic Novels,Alan Moore,5.0,124,4
A Morbid Taste for Bones (Brother Cadfael Mysteries),4.380952380952381,Must Read,A promising start...,Good,Fiction,Ellis Peters,5.0,1,3
Two Year College Student Guide to Creating a Great Resume,4.111111111111111,Must Read,Soaring into the future,Average,Business & Economics,Bob Roth,5.0,7,2
Tess of the d'Urbervilles,4.169411764705882,Must Read,A Women Struggling to Become Accepted,Average,Fiction,Thomas Hardy,5.0,1,2
Little House on the Prairie,4.545454545454546,Must Read,Fun book,Very Good,Juvenile Fiction,Laura Ingalls Wilder,5.0,9,4
Story of O,3.5814814814814815,Very Good,not what I expected,Average,Fiction,Pauline Reage,4.0,1,2
Spanish in 10 Minutes a Day,4.275,Must Read,This is a good place to start if you're learning Spanish!,Good,Spanish language,Kristine K. Kershul,5.0,248,3
Vector Calculus,3.2857142857142856,Very Good,Kind of painful.,Average,Mathematics,Paul C. Matthews,4.0,52,2
In the presence of my enemies,5.0,Must Read,Foreign relation with Communist China in 1950's,Average,Biography & Autobiography,Gracia Burnham,5.0,14,2
I know this much is true,4.5,Must Read,This amazing book,Very Good,Fiction,Wally Lamb,5.0,1,4
Six Days of War: June 1967 and the Making of the Modern Middle East,4.504901960784314,Must Read,"Awesome, long book that you don't want to put down.",Very Good,History,Michael B. Oren,5.0,8,4
At Home In Mitford (The Mitford Years #1),4.258403361344538,Must Read,"Wonderful, Interesting, Heartwarming, Classic!",Must Read,Unknown,Unknown,5.0,0,5
Animal Farm 50TH Anniversary Edition,4.452544704264099,Must Read,"Were this farm's livestock the original ""Party animals""?",Very Good,Fiction,George Orwell,5.0,1,4
East of Eden,4.606431852986217,Must Read,East of Eden,Average,Brothers,John Steinbeck,5.0,174,2
The Catcher in the Rye [Audiobook] [Cd] [Unabridged] (Audio CD),4.016207951070337,Must Read,Im not the type to read for pleasure,Very Good,Young Adult Fiction,John Donovan,5.0,35,4
"Wizard's First Rule (Sword of Truth, Book 1)",3.9057649667405765,Very Good,THE BEST BOOK EVER,Very Good,Unknown,Unknown,4.0,0,4
Rafting on the Water Table (MVP),3.3333333333333335,Very Good,Steger-Welsh,Average,"USA today (Arlington, Va.)",Unknown,4.0,1795,2
The Nine Parts Of Desire: The Hidden World Of Islamic Women,3.901840490797546,Very Good,"TREATMENT OF WOMEN IN ISLAMIC COUNTRIES,CHECK THE SOURCES",Average,Social Science,Geraldine Brooks,4.0,45,2
Pope Joan,4.380382775119617,Must Read,Fascinating historical novel,Very Good,Fiction,Donna Woolfolk Cross,5.0,1,4
Black and Blue: A Novel (Oprah's Book Club),3.87,Very Good,Heartbreaking intro into the world of domestic violence.,Poor,Fiction,Anna Quindlen,4.0,1,1
